property,niche_ranking,University,State,Campus Life,Cost,Academic,Students,After College,Admissions,in_state_tuition,out_state_tuition,earning_two_years,earning_six_years,male_famle_rate,student_population,academics,athletics,dorms,student_life,campus,party,location,food,safety,engineering_subject,business_subject,computer_science_subject,art_subject,acceptance_rate,sat_scores,QS_overall,academic reputation,citation_per_faculty,employer_reputation,male,employment,from,to
Private,54,Johns Hopkins University,MD,6.25,28334,9,5875,69200,14,50410,50410,60500,69200,49/51,5875,A+,B-,B,A-,B+,B,B,B+,B-,30,1244,32,1083,14,1360-1530,89.8,94.3,83.9,66.4,49,91,1360,1530
Public,63,Colorado School of Mines,CO,6.5,24297,63,4386,74700,38,17842,36172,64300,74700,72/28,4386,A+,B,A-,A-,B+,B-,B+,C+,B+,14,#N/A,54,1083,38,1250-1420,66,75,70,71,72,93,1250,1420
Private,66,Case Western Reserve University,OH,5.13,31356,51,5019,67000,36,46006,46006,57600,67000,55/45,5019,A+,C+,C-,A-,B-,B,B,B-,B-,38,62,51,1083,36,1300-1490,46.4,75,54.9,71,55,91,1300,1490
Private,69,Bucknell University,PA,6.63,35677,69,3533,68800,25,51960,51960,53400,68800,48/52,3533,A+,B+,A,B+,A-,B,C,A-,B-,58,52,846,1083,25,1210-1390,66,75,70,71,48,94,1210,1390
private,72,Rensselaer Polytechnic Institute,NY,5.5,37820,69,6200,81700,44,51000,51000,62900,81700,69/31,6200,A+,B-,C+,A,B-,A-,C,C+,B,33,67,24,1083,44,1280-1490,33,75,78.2,71,69,94,1280,1490
public,76,Texas A&M University,TX,8.25,13723,47,43531,52900,67,11036,31214,42700,52900,51/49,43531,A,A+,B,A+,A,A,A-,A-,B,43,40,62,1083,67,1070-1310,48.1,69.7,57,54.1,51,94,1070,1310
private,88,Mount Holyoke College,MA,6.5,26082,88,2095,44100,50,45866,45866,31500,44100,0/100,2095,A+,A,A,A,A+,C+,C,A+,B+,#N/A,#N/A,68,1083,50,1220-1490,66,75,70,71,0,89,1220,1490
private,93,Stevens Institute of Technology,NJ,6.38,34935,93,2955,82800,44,48838,48838,63000,82800,71/29,2955,A,B-,C+,A-,C+,A,A+,C,A-,44,65,46,1083,44,1240-1425,66,75,70,71,71,93,1240,1425
private,94,Worcester Polytechnic Institute,MA,5.75,39011,94,4158,77600,49,46994,46994,63500,77600,66/34,4158,A+,B-,B-,B+,B-,B+,B-,C+,A-,41,#N/A,52,1083,49,1310-1480,66,75,70,71,66,95,1310,1480
Public,97,North Carolina State University,NC,8.25,13575,58,21023,47500,50,8880,26399,37100,47500,55/45,21023,A,A+,B,A,A,A,A,A,B-,39,64,61,1083,50,1160-1330,40.3,41.3,46.7,71,55,94,1160,1330
Private,99,Villanova University,PA,7.13,31668,99,6469,73700,48,48610,48610,58100,73700,48/52,6469,A,A+,B-,A-,B,B+,A-,B+,B,62,41,111,1083,48,1200-1400,66,75,70,71,48,96,1200,1400
